幸腹グラフィティ,銃皇無尽のファフニール,冴えない彼女の育てかた,暗殺教室,探偵歌劇ミルキィホームズTD,艦隊これくしょん -艦これ-,アイドルマスターシンデレラガールズ,ジョジョの奇妙な冒険 スターダストクルセイダース,アルドノア・ゼロ(後半),少年ハリウッド-HOLLY STAGE FOR 50-,デュラララ!!×２,蒼穹のファフナー EXODUS,純潔のマリア,美男高校地球防衛部LOVE!,聖剣使いの禁呪詠唱＜ワールドブレイク＞,DOG DAYS″,血液型くん！2,ISUCA,東京喰種トーキョーグール√A,黒子のバスケ 第3期,アブソリュート・デュオ,新妹魔王の契約者(テスタメント) ,ローリング☆ガールズ,夜ノヤッターマン,みんな集まれ！ファルコム学園SC,神様はじめました◎,戦国無双,デス・パレード,美少女戦士セーラームーンCrystal 2期
0,0.00109529,0.000292826,0.000498504,0.000976563,0.000167645,0.000209556,0.000674764,0.000558971,0.00245098,0.000819672,0.001168224,0.000940734,0.00118624,0.001422475,0.00075358,0.011111111,0.000822368,0.000794913,0.00137931,0.000580383,0.000791766,0.000648508,0.001754386,0.005025126,0.001426534,0.002506266,0.001216545,0.001597444
0.00109529,0,0.001879699,0.001215067,0.001865672,0.000636943,0.000984252,0.003257329,0.002688172,0.008695652,0.003731343,0.003875969,0.002638522,0.003663004,0.003355705,0.002096436,0.014925373,0.001923077,0.002967359,0.004672897,0.00243309,0.002717391,0.00255102,0.002906977,0.011235955,0.003773585,0.005,0.003875969,0.004065041
0.000292826,0.001879699,0,0.000393082,0.001053741,0.000142126,0.000196117,0.000769823,0.000509944,0.002717391,0.000680272,0.001267427,0.001007049,0.001052632,0.001396648,0.000800641,0.008064516,0.000773395,0.000629723,0.001038422,0.000337724,0.000702741,0.000762777,0.000983284,0.005882353,0.001560062,0.00255102,0.00124533,0.001254705
0.000498504,0.001215067,0.000393082,0,0.001692047,0.000156814,0.000320718,0.000643501,0.000549149,0.001070664,0.000288934,0.001231527,0.001144165,0.000318471,0.002538071,0.001277139,0.00462963,0.001295337,0.000264901,0.000233372,0.000943396,0.001443001,0.001270648,0.001113586,0.006802721,0.000805153,0.000876424,0.000748503,0.000342114
0.000976563,0.001865672,0.001053741,0.001692047,0,0.000557103,0.000558036,0.001597444,0.001414427,0.004716981,0.002145923,0.002785515,0.002403846,0.002840909,0.00297619,0.001736111,0.024390244,0.002159827,0.002314815,0.003115265,0.001666667,0.00209205,0.001706485,0.002531646,0.008547009,0.00265252,0.0078125,0.003816794,0.004048583
0.000167645,0.000636943,0.000142126,0.000156814,0.000557103,0,5.66829E-05,0.000226809,0.000252525,0.001373626,0.000328515,0.000532765,0.000661376,0.00043802,0.000974659,0.000472813,0.005952381,0.00048216,0.000297885,0.000317561,0.000373692,0.000478011,0.000452899,0.000394322,0.002237136,0.000987167,0.000783085,0.00067981,0.000282406
0.000209556,0.000984252,0.000196117,0.000320718,0.000558036,5.66829E-05,0,0.000237586,0.000282805,0.001358696,0.000434972,0.000609385,0.00077101,0.000558971,0.001046025,0.000508647,0.00990099,0.000567537,0.000445831,0.00048216,0.00046729,0.000541419,0.000496278,0.000541419,0.002985075,0.00132626,0.00149925,0.000777001,0.000505817
0.000674764,0.003257329,0.000769823,0.000643501,0.001597444,0.000226809,0.000237586,0,0.000698324,0.002070393,0.000638978,0.001177856,0.00143472,0.000898473,0.002518892,0.00122399,0.012658228,0.001422475,0.000662691,0.000623441,0.00127551,0.001287001,0.001126126,0.001052632,0.004784689,0.001788909,0.001883239,0.001251564,0.000888099
0.000558971,0.002688172,0.000509944,0.000549149,0.001414427,0.000252525,0.000282805,0.000698324,0,0.001349528,0.000510465,0.000949668,0.001086957,0.000437445,0.002028398,0.001013171,0.012345679,0.001345895,0.000439754,0.000484966,0.001046025,0.00122399,0.001001001,0.00130039,0.006410256,0.001620746,0.003215434,0.000944287,0.001243781
0.00245098,0.008695652,0.002717391,0.001070664,0.004716981,0.001373626,0.001358696,0.002070393,0.001349528,0,0.001256281,0.002227171,0.00297619,0.000754717,0.005464481,0.003215434,0.012987013,0.003831418,0.001129944,0.000843882,0.003215434,0.003533569,0.003174603,0.004048583,0.010526316,0.001988072,0.004115226,0.001984127,0.002304147
0.000819672,0.003731343,0.000680272,0.000288934,0.002145923,0.000328515,0.000434972,0.000638978,0.000510465,0.001256281,0,0.001322751,0.001545595,0.000372162,0.003058104,0.001466276,0.0078125,0.002123142,0.00029985,0.000236686,0.001488095,0.001805054,0.001302083,0.00166113,0.007751938,0.001101322,0.002150538,0.000791139,0.000724113
0.001168224,0.003875969,0.001267427,0.001231527,0.002785515,0.000532765,0.000609385,0.001177856,0.000949668,0.002227171,0.001322751,0,0.002024291,0.001347709,0.003424658,0.001814882,0.011627907,0.001964637,0.001234568,0.001176471,0.002070393,0.00228833,0.00204499,0.002217295,0.006711409,0.002272727,0.003267974,0.002123142,0.001757469
0.000940734,0.002638522,0.001007049,0.001144165,0.002403846,0.000661376,0.00077101,0.00143472,0.001086957,0.00297619,0.001545595,0.002024291,0,0.002053388,0.003144654,0.001724138,0.013333333,0.001526718,0.001501502,0.001915709,0.001310616,0.001865672,0.001342282,0.001432665,0.00729927,0.002386635,0.0041841,0.002020202,0.002724796
0.00118624,0.003663004,0.001052632,0.000318471,0.002840909,0.00043802,0.000558971,0.000898473,0.000437445,0.000754717,0.000372162,0.001347709,0.002053388,0,0.003802281,0.002207506,0.0078125,0.002463054,0.000367918,0.000270416,0.001976285,0.002638522,0.002222222,0.002123142,0.007518797,0.000914913,0.001647446,0.000775194,0.000674764
0.001422475,0.003355705,0.001396648,0.002538071,0.00297619,0.000974659,0.001046025,0.002518892,0.002028398,0.005464481,0.003058104,0.003424658,0.003144654,0.003802281,0,0.002347418,0.028571429,0.001988072,0.003289474,0.005617978,0.001607717,0.001930502,0.002336449,0.003194888,0.010752688,0.004694836,0.007692308,0.005,0.009803922
0.00075358,0.002096436,0.000800641,0.001277139,0.001736111,0.000472813,0.000508647,0.00122399,0.001013171,0.003215434,0.001466276,0.001814882,0.001724138,0.002207506,0.002347418,0,0.013513514,0.001175088,0.001618123,0.0025,0.001067236,0.001410437,0.00148368,0.001607717,0.007142857,0.002673797,0.003952569,0.002688172,0.002631579
0.011111111,0.014925373,0.008064516,0.00462963,0.024390244,0.005952381,0.00990099,0.012658228,0.012345679,0.012987013,0.0078125,0.011627907,0.013333333,0.0078125,0.028571429,0.013513514,0,0.014084507,0.008264463,0.008547009,0.011764706,0.023809524,0.01369863,0.014492754,0.022222222,0.011904762,0.016666667,0.01010101,0.011363636
0.000822368,0.001923077,0.000773395,0.001295337,0.002159827,0.00048216,0.000567537,0.001422475,0.001345895,0.003831418,0.002123142,0.001964637,0.001526718,0.002463054,0.001988072,0.001175088,0.014084507,0,0.002061856,0.003134796,0.001070664,0.001251564,0.001424501,0.001666667,0.007352941,0.00286533,0.003802281,0.002392344,0.003623188
0.000794913,0.002967359,0.000629723,0.000264901,0.002314815,0.000297885,0.000445831,0.000662691,0.000439754,0.001129944,0.00029985,0.001234568,0.001501502,0.000367918,0.003289474,0.001618123,0.008264463,0.002061856,0,0.000260892,0.001344086,0.001766784,0.001422475,0.001607717,0.007751938,0.001084599,0.002283105,0.000694927,0.00071736
0.00137931,0.004672897,0.001038422,0.000233372,0.003115265,0.000317561,0.00048216,0.000623441,0.000484966,0.000843882,0.000236686,0.001176471,0.001915709,0.000270416,0.005617978,0.0025,0.008547009,0.003134796,0.000260892,0,0.002604167,0.002915452,0.002570694,0.002409639,0.010416667,0.000981354,0.001550388,0.000754717,0.000430663
0.000580383,0.00243309,0.000337724,0.000943396,0.001666667,0.000373692,0.00046729,0.00127551,0.001046025,0.003215434,0.001488095,0.002070393,0.001310616,0.001976285,0.001607717,0.001067236,0.011764706,0.001070664,0.001344086,0.002604167,0,0.000902527,0.001034126,0.00143472,0.005988024,0.001992032,0.003703704,0.001779359,0.003378378
0.000791766,0.002717391,0.000702741,0.001443001,0.00209205,0.000478011,0.000541419,0.001287001,0.00122399,0.003533569,0.001805054,0.00228833,0.001865672,0.002638522,0.001930502,0.001410437,0.023809524,0.001251564,0.001766784,0.002915452,0.000902527,0,0.001449275,0.002008032,0.007936508,0.002631579,0.006993007,0.003095975,0.005181347
0.000648508,0.00255102,0.000762777,0.001270648,0.001706485,0.000452899,0.000496278,0.001126126,0.001001001,0.003174603,0.001302083,0.00204499,0.001342282,0.002222222,0.002336449,0.00148368,0.01369863,0.001424501,0.001422475,0.002570694,0.001034126,0.001449275,0,0.00130039,0.005847953,0.002188184,0.004291845,0.001503759,0.003521127
0.001754386,0.002906977,0.000983284,0.001113586,0.002531646,0.000394322,0.000541419,0.001052632,0.00130039,0.004048583,0.00166113,0.002217295,0.001432665,0.002123142,0.003194888,0.001607717,0.014492754,0.001666667,0.001607717,0.002409639,0.00143472,0.002008032,0.00130039,0,0.006756757,0.002531646,0.003424658,0.001845018,0.001926782
0.005025126,0.011235955,0.005882353,0.006802721,0.008547009,0.002237136,0.002985075,0.004784689,0.006410256,0.010526316,0.007751938,0.006711409,0.00729927,0.007518797,0.010752688,0.007142857,0.022222222,0.007352941,0.007751938,0.010416667,0.005988024,0.007936508,0.005847953,0.006756757,0,0.00862069,0.010416667,0.008264463,0.009803922
0.001426534,0.003773585,0.001560062,0.000805153,0.00265252,0.000987167,0.00132626,0.001788909,0.001620746,0.001988072,0.001101322,0.002272727,0.002386635,0.000914913,0.004694836,0.002673797,0.011904762,0.00286533,0.001084599,0.000981354,0.001992032,0.002631579,0.002188184,0.002531646,0.00862069,0,0.003194888,0.001724138,0.001655629
0.002506266,0.005,0.00255102,0.000876424,0.0078125,0.000783085,0.00149925,0.001883239,0.003215434,0.004115226,0.002150538,0.003267974,0.0041841,0.001647446,0.007692308,0.003952569,0.016666667,0.003802281,0.002283105,0.001550388,0.003703704,0.006993007,0.004291845,0.003424658,0.010416667,0.003194888,0,0.00265252,0.00152207
0.001216545,0.003875969,0.00124533,0.000748503,0.003816794,0.00067981,0.000777001,0.001251564,0.000944287,0.001984127,0.000791139,0.002123142,0.002020202,0.000775194,0.005,0.002688172,0.01010101,0.002392344,0.000694927,0.000754717,0.001779359,0.003095975,0.001503759,0.001845018,0.008264463,0.001724138,0.00265252,0,0.001672241
0.001597444,0.004065041,0.001254705,0.000342114,0.004048583,0.000282406,0.000505817,0.000888099,0.001243781,0.002304147,0.000724113,0.001757469,0.002724796,0.000674764,0.009803922,0.002631579,0.011363636,0.003623188,0.00071736,0.000430663,0.003378378,0.005181347,0.003521127,0.001926782,0.009803922,0.001655629,0.00152207,0.001672241,0
