1,幸腹グラフィティ
2,銃皇無尽のファフニール
3,冴えない彼女の育てかた
4,暗殺教室
5,探偵歌劇ミルキィホームズTD
6,艦隊これくしょん -艦これ-
7,アイドルマスターシンデレラガールズ
8,ジョジョの奇妙な冒険 スターダストクルセイダース
9,アルドノア・ゼロ(後半)
10,少年ハリウッド-HOLLY STAGE FOR 50-
11,デュラララ!!×２
12,蒼穹のファフナー EXODUS
13,純潔のマリア
14,美男高校地球防衛部LOVE!
15,聖剣使いの禁呪詠唱＜ワールドブレイク＞
16,DOG DAYS″
17,血液型くん！2
18,ISUCA
19,東京喰種トーキョーグール√A
20,黒子のバスケ 第3期
21,アブソリュート・デュオ
22,新妹魔王の契約者(テスタメント) 
23,ローリング☆ガールズ
24,夜ノヤッターマン
25,みんな集まれ！ファルコム学園SC
26,神様はじめました◎
27,戦国無双
28,デス・パレード
29,美少女戦士セーラームーンCrystal 2期
