幸腹グラフィティ,銃皇無尽のファフニール,冴えない彼女の育てかた,暗殺教室,探偵歌劇ミルキィホームズTD,艦隊これくしょん -艦これ-,アイドルマスターシンデレラガールズ,ジョジョの奇妙な冒険 スターダストクルセイダース,アルドノア・ゼロ(後半),少年ハリウッド-HOLLY STAGE FOR 50-,デュラララ!!×２,蒼穹のファフナー EXODUS,純潔のマリア,美男高校地球防衛部LOVE!,聖剣使いの禁呪詠唱＜ワールドブレイク＞,DOG DAYS″,血液型くん！2,ISUCA,東京喰種トーキョーグール√A,黒子のバスケ 第3期,アブソリュート・デュオ,新妹魔王の契約者(テスタメント) ,ローリング☆ガールズ,夜ノヤッターマン,みんな集まれ！ファルコム学園SC,神様はじめました◎,戦国無双,デス・パレード,美少女戦士セーラームーンCrystal 2期
0,55.60569551,23.94524158,43.58275174,52.8359375,21.16814753,23.01697402,47.6902834,41.69088876,128.4019608,61.85983607,66.29439252,52.91627469,84.53973903,70.67852063,44.17784476,460.4888889,47.26480263,60.75119237,105.6303448,36.70400464,45.37212985,38.66407263,100.3789474,216.6733668,78.11697575,125.3032581,71.3649635,101.0463259
55.60569551,0,102.8214286,73.33535844,50.43283582,63.18216561,81.46161417,142.0358306,127.7231183,220.1391304,180.5858209,115.0232558,76.98680739,161.8864469,75.88926174,66.14675052,214.5074627,58.46538462,146.4480712,231.3551402,88.00243309,82.1548913,83.03061224,87.62790698,180.2921348,104.4830189,114.62,122.4418605,147.0853659
23.94524158,102.8214286,0,35.91194969,61.15595364,18.50497442,22.31221808,57.43648961,40.03977562,153.0461957,54.01496599,76.90874525,60.60725076,79.15789474,74.88826816,50.08566853,365.9435484,47.49187935,50.60327456,83.60851506,22.68625464,43.03443429,48.47673532,60.12684366,276.7705882,91.56474259,137.5739796,77.95143213,84.30112923
43.58275174,73.33535844,35.91194969,0,107.7681895,21.30390466,38.3014753,51.64993565,46.22295442,66.35438972,24.5755562,81.69334975,75.32837529,25.74968153,150.4416244,87.11494253,236.2546296,86.86658031,22.78463576,20.10945158,68.70566038,96.52525253,87.93773825,74.3908686,358.537415,51.80917874,52.21998247,51.08458084,24.92028738
52.8359375,50.43283582,61.15595364,107.7681895,0,57.12089136,48.04743304,74.985623,71.92220651,135.1509434,111.0150215,91.95543175,78.15865385,135.03125,77.23511905,60.56944444,431.902439,72.86825054,121.9652778,164.6292835,65.84166667,70.22803347,61.23549488,84.75949367,165.6581197,82.29177719,205.15625,133.3053435,159.9959514
21.16814753,63.18216561,18.50497442,21.30390466,57.12089136,0,8.970921664,27.01406215,31.06388889,138.4835165,40.70203679,56.03409696,69.23148148,52.42882173,95.62865497,50.61560284,534.952381,51.06171649,37.19183795,39.69831693,41.72982063,50.541587,48.93478261,41.65772871,204.8008949,101.863771,77.07439311,72.80081577,31.53996046
23.01697402,81.46161417,22.31221808,38.3014753,48.04743304,8.970921664,0,24.3939178,30.14196833,114.6535326,46.7446716,54.07982937,68.03932151,57.7216322,85.44351464,46.09409969,727.1386139,50.77809308,48.33794026,52.35245902,44.50373832,48.34975636,45.4674938,48.30157011,224.2238806,115.0623342,122.928036,70.44211344,48.18007081
47.6902834,142.0358306,57.43648961,51.64993565,74.985623,27.01406215,24.3939178,0,47.08240223,93.63354037,43.64600639,58.40400471,70.42611191,57.59568733,107.1133501,62.9877601,433.9367089,71.56614509,45.89927104,43.2786783,71.52806122,64.53281853,59.0731982,52.68736842,172.0334928,85.14669052,80.66478343,64.4543179,49.81527531
41.69088876,127.7231183,40.03977562,46.22295442,71.92220651,31.06388889,30.14196833,47.08240223,0,66.30634278,36.86268504,50.8005698,57.60326087,29.75153106,94.18255578,56.09827761,471.4691358,72.9730821,32.176781,35.56110572,62.74686192,66.15667075,56.42142142,70.17035111,255.5320513,83.47649919,150.2926045,52.32011331,74.62686567
128.4019608,220.1391304,153.0461957,66.35438972,135.1509434,138.4835165,114.6535326,93.63354037,66.30634278,0,62.83542714,69.70155902,91.66071429,34.57735849,132.431694,106.6623794,207.6883117,122.6896552,57.59661017,43.14767932,121.5080386,112.5547703,108.4698413,128.5991903,185.9578947,58.26640159,101.0041152,65.89285714,87.10368664
