幸腹グラフィティ,銃皇無尽のファフニール,冴えない彼女の育てかた,暗殺教室,探偵歌劇ミルキィホームズTD,艦隊これくしょん -艦これ-,アイドルマスターシンデレラガールズ,ジョジョの奇妙な冒険 スターダストクルセイダース,アルドノア・ゼロ(後半),少年ハリウッド-HOLLY STAGE FOR 50-,デュラララ!!×２,蒼穹のファフナー EXODUS,純潔のマリア,美男高校地球防衛部LOVE!,聖剣使いの禁呪詠唱＜ワールドブレイク＞,DOG DAYS″,血液型くん！2,ISUCA,東京喰種トーキョーグール√A,黒子のバスケ 第3期,アブソリュート・デュオ,新妹魔王の契約者(テスタメント) ,ローリング☆ガールズ,夜ノヤッターマン,みんな集まれ！ファルコム学園SC,神様はじめました◎,戦国無双,デス・パレード,美少女戦士セーラームーンCrystal 2期
0,1.745119277,1.379219223,1.639314647,1.722929418,1.325682854,1.362048228,1.678429903,1.620041153,2.108571656,1.791408765,1.821476795,1.723589262,1.927060903,1.849287451,1.645204525,2.663219156,1.674537849,1.783554806,2.023788697,1.564713451,1.656789166,1.587307598,2.001642637,2.335805532,1.892745422,2.097962364,1.853485048,2.004520527
1.745119277,0,2.012083634,1.865313419,1.702713389,1.800594508,1.910953011,2.152397915,2.106269513,2.342697247,2.256683648,2.060785656,1.88641631,2.209210491,1.880180328,1.820508514,2.331442406,1.766898811,2.165683656,2.364279153,1.94449468,1.914633425,1.91923824,1.942642439,2.255976781,2.019045712,2.059260404,2.08792992,2.167569465
1.379219223,2.012083634,0,1.555238984,1.786438743,1.267288489,1.348542746,1.759187889,1.602491635,2.184822539,1.732514107,1.885975726,1.782524584,1.898494235,1.874413787,1.699713475,2.563414095,1.676619356,1.704178621,1.92225051,1.355762802,1.633816098,1.685533364,1.779068406,2.442119937,1.961728279,2.1385363,1.891824098,1.925833392
1.639314647,1.865313419,1.555238984,0,2.032490587,1.32845921,1.583215502,1.713069785,1.664857701,1.821869659,1.390503356,1.912186704,1.876958601,1.410771862,2.177368014,1.940092654,2.373380328,1.938852725,1.35764209,1.303400227,1.836992518,1.984640947,1.944175291,1.87151963,2.554534483,1.714406708,1.717836722,1.708289834,1.396553046
1.722929418,1.702713389,1.786438743,2.032490587,0,1.756794976,1.68167019,1.874978004,1.856863003,2.130819082,2.045381747,1.963577388,1.892977071,2.130434288,1.88781482,1.78225359,2.635385657,1.862538343,2.086236209,2.216507088,1.818500816,1.846510507,1.787003232,1.928188354,2.219212728,1.915356442,2.312084752,2.124847558,2.204108993
1.325682854,1.800594508,1.267288489,1.32845921,1.756794976,0,0.952837064,1.431589895,1.492255824,2.141398083,1.609616143,1.748452377,1.840303625,1.719570098,1.980588047,1.704284414,2.728315125,1.70809541,1.570447641,1.598772095,1.620446518,1.703648875,1.689617663,1.619695587,2.31133185,2.00801975,1.886910114,1.862136246,1.498861145
1.362048228,1.910953011,1.348542746,1.583215502,1.68167019,0.952837064,0,1.387281556,1.479171609,2.05938744,1.669732113,1.733035313,1.832759974,1.761338603,1.931679104,1.663645337,2.861617208,1.705676387,1.684288141,1.718937086,1.648396493,1.68439429,1.657701016,1.683961248,2.350681865,2.06093318,2.089650943,1.847832377,1.682867434
1.678429903,2.152397915,1.759187889,1.713069785,1.874978004,1.431589895,1.387281556,0,1.672858613,1.971431445,1.639944512,1.766442627,1.847733712,1.760389965,2.029843603,1.799256165,2.637426391,1.854707625,1.661805788,1.636273989,1.854476454,1.809780634,1.771390484,1.721706507,2.235613007,1.930167772,1.906683972,1.809252017,1.697362535
1.620041153,2.106269513,1.602491635,1.664857701,1.856863003,1.492255824,1.479171609,1.672858613,0,1.821555074,1.566586966,1.705868584,1.760447069,1.47350932,1.973970471,1.748949527,2.673453267,1.86316269,1.507542595,1.550975256,1.797592011,1.820573642,1.751444023,1.84615365,2.407445381,1.921564227,2.176937611,1.718668676,1.872895202
2.108571656,2.342697247,2.184822539,1.821869659,2.130819082,2.141398083,2.05938744,1.971431445,1.821555074,0,1.798204572,1.843242492,1.962183237,1.538791813,2.121991934,2.028011268,2.317412056,2.088807946,1.760396924,1.634957442,2.08460501,2.051363906,2.035309005,2.109238234,2.269414621,1.765418198,2.004339069,1.818838339,1.940036537
